,As,Cd,Co,Cu,Mn,Pb,Se,Zn,Fe
1,0.296989,-0.570219667,-0.131132667,-0.373665,2.686803333,0.040476667,-0.031266667,0.440811,-2.53026
2,0.355660667,-0.564156333,-0.301130333,-0.300684333,5.567316667,0.152776667,-0.084497333,0.651635,8.295693333
3,0.251294667,-0.567187333,-0.246239333,-0.395649667,2.827023333,0.053285667,-0.046940333,0.455686667,4.079333333
4,0.177929333,-0.571958,-0.133712333,-0.395083333,2.3273,-0.002605667,-0.104884,0.369288,-7.30733
5,0.237493,-0.571959667,-0.133739333,-0.381441333,2.537976667,0.015418333,-0.062986333,0.337234667,-5.764196667
6,0.285930667,-0.564625,-0.244998667,-0.316936333,3.859823333,0.070995,-0.064888333,0.594646333,8.113205
7,0.251549667,-0.569399667,-0.127841,-0.393769,2.02691,0.023529,-0.084073333,0.385258,-5.82219
8,0.199318667,-0.569831,-0.088964,-0.334210667,3.01253,0.013134,-0.096299333,0.425161667,-4.67855
9,0.196664333,-0.570024,-0.142866667,-0.356480333,1.550246667,0.00058,-0.057073,0.402059,-5.323463333
10,0.267788,-0.300515,-0.107312333,-0.131580333,2.929758667,0.138262333,0.027755333,0.556349,4.25189
11,0.181364,-0.571123333,-0.178904333,-0.368449333,1.58236,-0.020397667,-0.101728,0.384462667,-5.2211
12,0.224415,-0.567479333,-0.196535,-0.169818667,2.77155,0.031458333,-0.073458767,0.447735667,-8.096003333
13,0.173402,-0.5625115,-0.312648,-0.2981635,4.77126,0.0409805,-0.1148645,0.5281195,7.69804
14,0.073940667,-0.572483667,-0.173047,-0.345427333,2.378086667,-0.037941,-0.113532333,0.383426,-7.560966667
15,0.062266333,-0.572675667,-0.175166667,-0.318574,2.616856667,-0.018222,-0.10978,0.443332333,-8.070366667
16,0.159032333,-0.570823333,-0.204577333,-0.333608,1.663836667,-0.057386,-0.111580667,0.559326,-9.3042
17,0.177918,-0.573788667,-0.147750667,-0.382335667,1.938493333,-0.076737,-0.116295667,0.43484,-9.650383333
18,0.133,-0.572,-0.176,-0.345,2.073,-0.051,-0.113,0.479,-9.008
